ZIP,household_count,City/Town,County,Population
98619,305,Glenwood,Klickitat County,659
98620,3629,Goldendale,Klickitat County,7584
98621,87,Grays River,Pacific County,257
98623,25,Husum,Klickitat County,36
98624,800,Ilwaco,Pacific County,1706
98625,2995,Kalama,Cowlitz County,6827
98626,10642,Kelso,Cowlitz County,27000
98628,222,Klickitat,Klickitat County,393
98629,3547,La Center,Clark County,9783
98631,3143,Long Beach,Pacific County,3387
98632,21787,Longview,Cowlitz County,50837
98635,943,Lyle,Klickitat County,1975
98638,732,Naselle,Pacific County,1561
98639,546,North Bonneville,Skamania County,1146
98640,4991,Ocean Park,Pacific County,4944
98641,168,Oysterville,Pacific County,55
98642,9736,Ridgefield,Clark County,25005
98643,268,Rosburg,Wahkiakum County,482
98644,852,Seaview,Pacific County,657
98645,891,Silverlake,Cowlitz County,2044
98647,175,Skamokawa,Wahkiakum County,272
98648,1460,Stevenson,Skamania County,3488
98649,419,Toutle,Cowlitz County,849
98650,669,Trout Lake,Klickitat County,1216
98651,445,Underwood,Skamania County,944
98660,7048,Vancouver,Clark County,13146
98661,22291,Vancouver,Clark County,49910
98662,14609,Vancouver,Clark County,37064
98663,6753,Vancouver,Clark County,15365
98664,9656,Vancouver,Clark County,23395
98665,11894,Vancouver,Clark County,27947
98670,34,Wahkiacus,Klickitat County,61
98671,9090,Washougal,Skamania County,23871
98672,3176,White Salmon,Klickitat County,6997
98673,171,Wishram,Klickitat County,502
98674,5830,Woodland,Cowlitz County,15679
98675,2292,Yacolt,Clark County,7198
98682,24288,Vancouver,Clark County,66821
98683,14352,Vancouver,Clark County,31504
98684,14355,Vancouver,Clark County,36931
98685,11901,Vancouver,Clark County,30534
98686,8348,Vancouver,Clark County,20518
98801,18034,Wenatchee,Chelan County,44801
98802,12516,East Wenatchee,Douglas County,31801
98811,10,Ardenvoir,Chelan County,120
98812,1898,Brewster,Okanogan County,5422
98813,920,Bridgeport,Douglas County,3191
98814,309,Carlton,Okanogan County,688
98815,3007,Cashmere,Chelan County,7562
98816,5398,Chelan,Chelan County,6901
98817,60,Chelan Falls,Chelan County,143
98819,237,Conconully,Okanogan County,205
98821,193,Dryden,Chelan County,646
98822,964,Entiat,Chelan County,1983
98823,4646,Ephrata,Grant County,12638
98824,73,George,Grant County,231
98826,5868,Leavenworth,Chelan County,7689
98827,260,Loomis,Okanogan County,479
98828,905,Malaga,Chelan County,2075
98829,235,Malott,Okanogan County,638
98830,287,Mansfield,Douglas County,562
98831,2253,Manson,Chelan County,3814
98832,85,Marlin,Grant County,153
98833,370,Mazama,Okanogan County,153
98834,116,Methow,Okanogan County,245
98836,267,Monitor,Chelan County,883
98837,18651,Moses Lake,Grant County,46959
98840,2258,Okanogan,Okanogan County,4775
98841,4056,Omak,Okanogan County,9218
98843,1469,Orondo,Douglas County,2243
98844,3017,Oroville,Okanogan County,4348
