ZIP,Household Count,City/Town,County,Population,,,,,,,
94546,"45,761",Castro Valley,Alameda County,"45,761",,,,,,,
93446,"45,720",Paso Robles,San Luis Obispo County,"45,720",,,,,,,
95148,"45,688",San Jose,Santa Clara County,"45,688",,,,,,,
92648,"45,667",Huntington Beach,Orange County,"45,667",,,,,,,
91352,"45,601",Sun Valley,Los Angeles County,"45,601",,,,,,,
90241,"45,341",Downey,Los Angeles County,"45,341",,,,,,,
91765,"45,303",Diamond Bar,Los Angeles County,"45,303",,,,,,,
93702,"45,248",Fresno,Fresno County,"45,248",,,,,,,
92545,"45,219",Hemet,Riverside County,"45,219",,,,,,,
95678,"45,210",Roseville,Placer County,"45,210",,,,,,,
94566,"45,145",Pleasanton,Alameda County,"45,145",,,,,,,
92374,"44,976",Redlands,San Bernardino County,"44,976",,,,,,,
92555,"44,923",Moreno Valley,Riverside County,"44,923",,,,,,,
90065,"44,897",Los Angeles,Los Angeles County,"44,897",,,,,,,
90032,"44,881",Los Angeles,Los Angeles County,"44,881",,,,,,,
91367,"44,862",Woodland Hills,Los Angeles County,"44,862",,,,,,,
91790,"44,855",West Covina,Los Angeles County,"44,855",,,,,,,
93726,"44,790",Fresno,Fresno County,"44,790",,,,,,,
93292,"44,759",Visalia,Tulare County,"44,759",,,,,,,
95403,"44,677",Santa Rosa,Sonoma County,"44,677",,,,,,,
90023,"44,558",Los Angeles,Los Angeles County,"44,558",,,,,,,
94561,"44,546",Oakley,Contra Costa County,"44,546",,,,,,,
94605,"44,477",Oakland,Alameda County,"44,477",,,,,,,
90043,"44,461",Los Angeles,Los Angeles County,"44,461",,,,,,,
95831,"44,450",Sacramento,Sacramento County,"44,450",,,,,,,
92688,"44,444",Rancho Santa Margarita,Orange County,"44,444",,,,,,,
90025,"44,429",Los Angeles,Los Angeles County,"44,429",,,,,,,
94804,"44,387",Richmond,Contra Costa County,"44,387",,,,,,,
92506,"44,344",Riverside,Riverside County,"44,344",,,,,,,
92802,"44,316",Anaheim,Orange County,"44,316",,,,,,,
90503,"44,280",Torrance,Los Angeles County,"44,280",,,,,,,
95628,"44,256",Fair Oaks,Sacramento County,"44,256",,,,,,,
92867,"44,216",Orange,Orange County,"44,216",,,,,,,
95380,"44,204",Turlock,Stanislaus County,"44,204",,,,,,,
95337,"44,192",Manteca,San Joaquin County,"44,192",,,,,,,
93455,"44,186",Santa Maria,Santa Barbara County,"44,186",,,,,,,
91320,"44,138",Newbury Park,Ventura County,"44,138",,,,,,,
94531,"44,115",Antioch,Contra Costa County,"44,115",,,,,,,
92109,"44,009",San Diego,San Diego County,"44,009",,,,,,,
95991,"43,978",Yuba City,Sutter County,"43,978",,,,,,,
96003,"43,945",Redding,Shasta County,"43,945",,,,,,,
94116,"43,903",San Francisco,San Francisco County,"43,903",,,,,,,
94403,"43,858",San Mateo,San Mateo County,"43,858",,,,,,,
91748,"43,851",Rowland Heights,Los Angeles County,"43,851",,,,,,,
91606,"43,552",North Hollywood,Los Angeles County,"43,552",,,,,,,
94010,"43,458",Burlingame,San Mateo County,"43,458",,,,,,,
93552,"43,371",Palmdale,Los Angeles County,"43,371",,,,,,,
